dataset,algo,ari,nmi,silhouette,n_clusters,noise_ratio,gmm_test_ll
digits,Agglomerative,0.6643458356002894,0.7955873641548867,0.12532527779196986,10,0.0,-9690.009381871196
digits,DBSCAN,0.002984872309991652,0.08951545855009639,-0.193321574449614,6,0.9515859766277128,-9690.009381871196
digits,GMM(Cluster),0.5467446695167534,0.6901548564081458,0.11790515989650167,10,0.0,-9690.009381871196
digits,KMeans,0.5305122615593327,0.6720252033763408,0.13558208876901615,10,0.0,-9690.009381871196
iris,Agglomerative,0.6153229932145449,0.6754701853436886,0.4466890410285909,3,0.0,-2.3166531542558397
iris,DBSCAN,0.5681159420289855,0.7336804366512104,0.5817500491982808,2,0.0,-2.3166531542558397
iris,GMM(Cluster),0.5164585360868599,0.657093812636084,0.4751434694267145,3,0.0,-2.3166531542558397
iris,KMeans,0.432804702527474,0.5895674488004073,0.4798814508199817,3,0.0,-2.3166531542558397
wine,Agglomerative,0.7899332213582837,0.7864652657004837,0.2774439826952266,3,0.0,-14.891030773764125
wine,DBSCAN,0.32912571683333747,0.419124209413044,0.14267816431630354,2,0.3089887640449438,-14.891030773764125
wine,GMM(Cluster),0.8974949815093207,0.8758935341223069,0.2848589191898987,3,0.0,-14.891030773764125
wine,KMeans,0.8974949815093207,0.8758935341223069,0.2848589191898987,3,0.0,-14.891030773764125
